14070004	888	1200	ELx8r4AU
41662285	888	1222	D7ZM9baF
57616964	888	1999	72zJYxRP
39946167	899	2222	B4utfvwC
21229137	899	2000	ZTyvDz9Z
90798216	899	2999	CK5aup5w
37532485	877	3222	EzJG27BM
14600946	877	3000	Tmb3y6KZ
35184741	877	3999	CjyKgVFc
78561306	233	9222	aFcxND96
84674740	233	9000	jPaCpZSF
18822539	233	9999	XdzAsBwd
71475552	244	8222	mxvtAwUk
79790727	244	8000	K68bBhwr
78463135	244	8999	vRqyJWD8
36118445	266	7222	gzqKy5Vn
77601835	266	7000	YE9Qsyms
10392973	266	7999	aYgnuamS
66197798	454	4222	vEtXkCkV
23187772	454	4000	pf2gbhq9
56285331	454	4999	YkuducLX
35265962	757	5222	zy6rHwbb
51201911	757	5000	wdUaxJVqZ
37846814	757	5999	TAkCgKDwf
10529214	959	6222	5PqYdQgFa
21556955	959	6000	W89KrbVu2
11725985	959	6999	DVQwVU8Zh
41943801	888	1200	udjEfWHvn
85567047	899	2000	cCtD6B5hE
82169779	757	5000	wyGrSNdMx
85810034	454	4999	gJu4NAmzV
88229697	959	6222	vNuuYps7M
36365451	757	5000	H2vCd39Lp
98470230	959	6000	83nM3hskV
53622858	888	1999	qL3U5c7vp
42122846	877	3222	2pHDqTRK
20483809	899	2222	nFCFVwHP
30924432	899	2000	6gwArwzZ
41130730	233	9000	EwXAZVQe
48521854	233	9999	5uQbxCfV
58999972	454	4999	B4Ccr5ce
80944056	888	1999	9vPKhwxS
68821045	233	9000	Aedcfn94
58720300	888	1200	tadkpYSS
91487203	877	3000	KYShTdwS
84558345	899	2222	FFas44Qe
61476584	959	6222	xKz3MmyA
41236870	899	2999	ztvHkjJB
98464236	757	5000	yK26BwJa
64860153	899	2999	RyYLErbr
74079266	266	7000	Bw6Vp7wv
93910284	899	2222	krBDqbm9
12472901	959	6999	6hBgDmbX
36562373	959	6999	Fe3naB3n
98916530	888	1200	qr5wpHZR
99875499	888	1200	sevsQExv
43382967	266	7000	vMV2vgH6
61758491	266	7000	xFPr5BUW
58915924	959	6999	zjVy9AFA
25112990	959	6999	DwmqRySK
17871002	877	3000	kYkgZjad
47136452	877	3000	7pgSDC27
66282185	959	6222	7QLxAZHP
29562303	888	1200	jKjBUXFQ
54453174	877	3999	4T5GwVdy
39665837	244	8222	Da5MbBLj
96685243	757	5000	8EtXW8Le
74929777	266	7000	xw6LfeBs
14961399	888	1200	m4WEqWf3
25025931	244	8000	3MmC8pPs
33107911	877	3222	CPfWCAer
20299337	244	8222	4U8ek6y8
69395203	454	4222	JP9MF7ke
96558518	233	9222	DYmyq8pD
