14070004	1200
41662285	1222
57616964	1999
39946167	2222
21229137	2000
90798216	2999
37532485	3222
14600946	3000
35184741	3999
78561306	9222
84674740	9000
18822539	9999
71475552	8222
79790727	8000
78463135	8999
36118445	7222
77601835	7000
10392973	7999
66197798	4222
23187772	4000
56285331	4999
35265962	5222
51201911	5000
37846814	5999
10529214	6222
21556955	6000
11725985	6999
41943801        1200
85567047	2000
82169779	5000
85810034	4999
88229697	6222
36365451	5000
98470230	6000
53622858	1999
42122846	3222
20483809	2222
30924432	2000
41130730	9000
48521854	9999
58999972	4999
80944056	1999
68821045	9000
58720300	1200
91487203	3000
84558345	2222
61476584	6222
41236870	2999
98464236	5000
64860153	2999
74079266	7000
93910284	2222
12472901	6999
36562373	6999
98916530	1200
99875499	1200
43382967	7000
61758491	7000
58915924	6999
25112990	6999
17871002	3000
47136452	3000
66282185	6222
29562303	1200
54453174	3999
39665837	8222
96685243	5000
74929777	7000
14961399	1200
25025931	8000
33107911	3222
20299337	8222
69395203	4222
96558518	9222
94421996	2000
79588373	7222
72656031	5000
86542259	3000
44474042	6222
80680886	7999
60141920	5999
81818276	2000
54587793	7999
71306743	3999
67952149	5000
39423108	2000
86560000	1200
88703239	2222
32645849	2000
76378014	2000
21009143	9222
58775156	7222
85612009	6222
21595957	3222
93340225	4222
53083098	8000
21670978	7000
27850356	5000
94921212	2000
11051502	3000
51982031	6999
27007576	8222
63736156	3999
61043630	1200
90473810	1200
58828765	2999
54396489	2999
83888577	3000
92068404	3000
81815957	6999
17689164	6999
14379566	7000
79184404	7000
46671737	1200
11506036	1200
61640985	6999
18750902	6999
89443011	3222
55188212	5222
50136201	6222
93608686	2999
86777190	2000
70326364	2000
48688766	7000
46189083	7000
44332424	5000
43222879	5000
19853775	8222
56687762	5999
62916411	3222
34301277	1200
40680876	2222
80311581	7999
59370908	8999
59443552	9999
55243612	1200
55459955	6222
42033869	5222
96266638	2999
67147417	9999
91561076	1999
29143575	8222
47287144	5222
16351156	6222
57902824	3222
36446300	2222
11897196	7000
96609131	5000
46025880	2000
71232539	1222
12320874	1222
45088822	1222
12345600	8999
45613163	9000
87942400	8999
78956132	1222
45896192	2222
45612254	1222
67823616	1200
45987328	1222
12395647	8999
76924057	1222
23568734	2222
34980096	1222
45357824	2222
19874563	8999
79624122	8999
55563212	1222
49532300	2222
22359785	1200
99545622	2222
46694522	8999
26941224	9000
69856561	2222
78899797	1200
91612155	1222
15894135	2222
16594215	2222
21684556	2222
13225684	1200
12569898	1222
23385488	8999
15584862	9000
25481244	1222
23645125	2222
91376524	1200
29876453	1200
22645118	2222
26984866	1222
69945005	1200
15158946	8999
25181568	8999
12851263	8999
89654132	9000
65948455	9000
15847451	9000
65945155	9000
26451598	9000
69874512	1200
98650547	2222
39564133	2222
36945215	2222
34975215	1222
59978154	2222
51645121	2222
63294155	8999
16544512	1222
36598455	1200
79629621	1222
21549122	2222
76597412	8999
36945848	9000
95641265	8999
15945156	1200
32798165	1222
93164131	2222
64875221	1222
67981236	8999
73158466	2222
86153655	2222
87962102	2222
85621110	1222
59531215	8999
93556812	2222
36598455	8999
79669661	9000
64873444	2222
67981466	1222
